flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
508419	12	aTHA-lh	23	THA-VA-lh	32	THA-VAi-lh	31	THA-VAia-lh
508420	12	aTHA-lh	23	THA-VA-lh	33	THA-VAs-lh	37	THA-VAs-lh
508703	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508704	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508709	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508798	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508799	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508800	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508801	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508802	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508804	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508805	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508806	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508807	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508808	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508895	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508896	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508897	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508898	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508899	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508900	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508901	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508902	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508903	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508904	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508905	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508993	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508994	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508995	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508996	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508997	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
508998	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
508999	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509000	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509001	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509002	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509090	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509091	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509092	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509093	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509094	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509095	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509096	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509097	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509098	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509099	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509188	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509189	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509190	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
