flat_idx	key	within_idx	label	i	j	k	x	y	z
363389	1	331	Tian_Subcortex	32	66	27	-32.5	-0.5	-24.5
363390	1	332	Tian_Subcortex	32	66	28	-32.5	-0.5	-22.5
363391	1	333	Tian_Subcortex	32	66	29	-32.5	-0.5	-20.5
363392	1	334	Tian_Subcortex	32	66	30	-32.5	-0.5	-18.5
363393	1	335	Tian_Subcortex	32	66	31	-32.5	-0.5	-16.5
363398	1	336	Tian_Subcortex	32	66	36	-32.5	-0.5	-6.5
363399	1	337	Tian_Subcortex	32	66	37	-32.5	-0.5	-4.5
363400	1	338	Tian_Subcortex	32	66	38	-32.5	-0.5	-2.5
363401	1	339	Tian_Subcortex	32	66	39	-32.5	-0.5	-0.5
363402	1	340	Tian_Subcortex	32	66	40	-32.5	-0.5	1.5
363403	1	341	Tian_Subcortex	32	66	41	-32.5	-0.5	3.5
363404	1	342	Tian_Subcortex	32	66	42	-32.5	-0.5	5.5
363405	1	343	Tian_Subcortex	32	66	43	-32.5	-0.5	7.5
363486	1	344	Tian_Subcortex	32	67	27	-32.5	1.5	-24.5
363487	1	345	Tian_Subcortex	32	67	28	-32.5	1.5	-22.5
363488	1	346	Tian_Subcortex	32	67	29	-32.5	1.5	-20.5
363495	1	347	Tian_Subcortex	32	67	36	-32.5	1.5	-6.5
363496	1	348	Tian_Subcortex	32	67	37	-32.5	1.5	-4.5
363497	1	349	Tian_Subcortex	32	67	38	-32.5	1.5	-2.5
363498	1	350	Tian_Subcortex	32	67	39	-32.5	1.5	-0.5
363499	1	351	Tian_Subcortex	32	67	40	-32.5	1.5	1.5
363500	1	352	Tian_Subcortex	32	67	41	-32.5	1.5	3.5
363501	1	353	Tian_Subcortex	32	67	42	-32.5	1.5	5.5
363593	1	354	Tian_Subcortex	32	68	37	-32.5	3.5	-4.5
363594	1	355	Tian_Subcortex	32	68	38	-32.5	3.5	-2.5
363595	1	356	Tian_Subcortex	32	68	39	-32.5	3.5	-0.5
363596	1	357	Tian_Subcortex	32	68	40	-32.5	3.5	1.5
363597	1	358	Tian_Subcortex	32	68	41	-32.5	3.5	3.5
363691	1	359	Tian_Subcortex	32	69	38	-32.5	5.5	-2.5
363692	1	360	Tian_Subcortex	32	69	39	-32.5	5.5	-0.5
363693	1	361	Tian_Subcortex	32	69	40	-32.5	5.5	1.5
372614	1	362	Tian_Subcortex	33	46	37	-30.5	-40.5	-4.5
372615	1	363	Tian_Subcortex	33	46	38	-30.5	-40.5	-2.5
372710	1	364	Tian_Subcortex	33	47	36	-30.5	-38.5	-6.5
372711	1	365	Tian_Subcortex	33	47	37	-30.5	-38.5	-4.5
372712	1	366	Tian_Subcortex	33	47	38	-30.5	-38.5	-2.5
